name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min
HD 142 Ac,Confirmed,,0.7,0.7,5.3,0.7,0.7,,
HD 142 Ad,Confirmed,0.26,0.036,0.032,,,,,
HD 143105 b,Confirmed,,0.06,0.06,1.21,0.06,0.06,,
HD 143361 Ab,Confirmed,,1.44,1.44,3.12,1.44,1.44,,
HD 144899 Ab,Confirmed,,0.016,0.021,0.064,0.016,0.021,,
HD 145377 b,Confirmed,,0.1,0.1,5.76,0.1,0.1,,
HD 145457 b,Confirmed,,,,2.9,,,,
HD 145934 Ab,Confirmed,2.072,0.048,1.634,2.28,0.6,0.6,,
HD 1461 b,Confirmed,,0.0019,0.0019,0.0203,0.0019,0.0019,,
HD 1461 c,Confirmed,,0.0023,0.0023,0.0176,0.0023,0.0023,,
HD 147018 b,Confirmed,,0.07,0.07,2.12,0.07,0.07,,
HD 147018 c,Confirmed,,0.32,0.32,6.56,0.32,0.32,,
HD 147379 Ab,Confirmed,,0.0035,0.0035,0.068,0.0035,0.0035,,
HD 147513 Ab,Confirmed,,,,1.21,,,,
HD 147873 Ab,Confirmed,,0.34,0.34,5.14,0.34,0.34,,
HD 147873 Ac,Confirmed,,0.18,0.18,2.3,0.18,0.18,,
HD 14787 b,Confirmed,,0.069,0.069,1.121,0.069,0.069,1.25,
HD 148156 b,Confirmed,,0.05,0.06,0.85,0.05,0.06,,
HD 148164 b,Confirmed,,0.82,0.82,5.16,0.82,0.82,,
HD 148164 c,Confirmed,,0.25,0.25,1.23,0.25,0.25,,
HD 149026 b,Confirmed,0.28,0.03,0.03,,,,0.74,0.02
HD 149143 b,Confirmed,,,,1.33,,,1.05,
HD 149806 Ab,Confirmed,12.597,2.782,2.694,,,,,
HD 150010 Ab,Confirmed,,0.4,0.4,2.4,0.4,0.4,,
HD 1502 b,Confirmed,,0.16,0.16,2.75,0.16,0.16,1.183,
HD 150433 b,Confirmed,,0.0197,0.0197,0.168,0.0197,0.0197,,
HD 150706 b,Confirmed,2.43,0.38,0.48,2.71,0.66,1.14,,
HD 151450 Ab,Confirmed,0.121,0.025,0.019,,,,,
HD 151450 Ac,Confirmed,5.148,1.058,1.18,,,,,
HD 152079 b,Confirmed,,2.0,2.0,3.0,2.0,2.0,,
HD 152581 b,Confirmed,,0.1,0.1,1.5,0.1,0.1,,
HD 152843 b,Confirmed,0.0309,0.0005,0.00053,,,,0.2721,0.0098
HD 152843 c,Confirmed,0.03043,0.006,0.006,,,,0.5299,0.0143
HD 153557 Ab,Confirmed,,0.007,0.006,0.064,0.007,0.006,,
HD 153557 Ac,Confirmed,,0.006,0.005,0.055,0.006,0.005,,
HD 153950 b,Confirmed,,0.05,0.05,2.73,0.05,0.05,,
HD 154088 b,Confirmed,,0.0025,0.0025,0.0208,0.0025,0.0025,,
HD 154345 b,Confirmed,1.186,0.059,0.095,1.0,0.3,0.3,,
HD 154391 b,Confirmed,9.1,1.9,2.8,,,,,
HD 154672 Ab,Confirmed,,0.17,0.17,5.02,0.17,0.17,,
HD 154857 b,Confirmed,,0.05,0.05,2.24,0.05,0.05,,
HD 154857 c,Confirmed,,0.16,0.16,2.58,0.16,0.16,,
HD 155193 b,Confirmed,,0.06,0.06,0.75,0.06,0.06,,
HD 155358 b,Confirmed,,0.05,0.05,0.85,0.05,0.05,,
HD 155358 c,Confirmed,,0.07,0.07,0.82,0.07,0.07,,
HD 155555 (AB)b,Confirmed,3.8,1.2,1.2,,,,,
HD 155918 Ab,Confirmed,,0.004,0.003,0.024,0.004,0.003,,
HD 155918 Ac,Confirmed,5.909,0.766,0.653,,,,,
HD 156098 b,Confirmed,,0.004,0.011,0.05,0.004,0.011,,
HD 156098 c,Confirmed,5.228,1.287,1.938,,,,,
