name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min
Kepler-988 b,Confirmed,,,,,,,0.185,0.014
Kepler-989 b,Confirmed,,,,,,,0.197,0.012
Kepler-98 b,Confirmed,0.011,0.005,0.005,,,,0.178,0.02
Kepler-990 b,Confirmed,,,,,,,0.232,0.037
Kepler-990 c,Confirmed,,,,,,,0.136,0.017
Kepler-991 b,Confirmed,,,,,,,0.227,0.011
Kepler-992 b,Confirmed,,,,,,,0.145,0.024
Kepler-993 b,Confirmed,,,,,,,0.265,0.011
Kepler-994 b,Confirmed,,,,,,,0.143,0.024
Kepler-995 b,Confirmed,,,,,,,0.241,0.015
Kepler-996 b,Confirmed,,,,,,,0.177,0.022
Kepler-997 b,Confirmed,,,,,,,0.121,0.023
Kepler-998 b,Confirmed,,,,,,,0.207,0.027
Kepler-999 Ab,Confirmed,,,,,,,0.2453,0.0526
Kepler-99 Bb,Confirmed,0.0119971,0.0018,0.0018,0.0119955,0.0018,0.0018,0.16166,0.01204
Kepler-9 b,Confirmed,0.13655,0.00629,0.00503,,,,0.74,0.038
Kepler-9 c,Confirmed,0.09408,0.00409,0.00346,,,,0.721,0.037
Kepler-9 d,Confirmed,0.016518264,0.005506088,0.005506088,,,,0.146,0.012
KIC 10255705 b,Confirmed,,,,,,,0.65,0.23
KIC 11152511 b,Confirmed,,,,,,,0.36,0.025
KIC 12454613 b,Confirmed,,,,,,,0.228,0.037
KIC 3853259 (AB)b,Confirmed,,,,10.0,,,,
KIC 5010054 b,Confirmed,,,,,,,0.62,0.14
KIC 5094412 b,Confirmed,,,,,,,0.51,0.37
KIC 5522786 b,Confirmed,,,,,,,0.11,0.04
KIC 5732155 b,Confirmed,,,,,,,1.14,0.23
KIC 6372194 b,Confirmed,,,,,,,0.74,0.11
KIC 7177553 (AB)b,Confirmed,,,,5.0,,,,
KIC 7821010 (AB)b,Confirmed,,,,2.6,,,,
KIC 9413313 b,Confirmed,,,,,,,1.124,0.616
KIC 9662267 b,Confirmed,,,,,,,0.34,0.096
KIC 9704149 b,Confirmed,,,,,,,0.4,0.09
KMT-2016-BLG-0625 b,Confirmed,0.051,0.044,0.044,,,,,
KMT-2016-BLG-1105 b,Confirmed,0.0073,0.00585,0.02338,,,,,
KMT-2016-BLG-1107 b,Confirmed,3.283,1.835,3.468,,,,,
KMT-2016-BLG-1397 b,Confirmed,7.0,4.3,5.2,,,,,
KMT-2016-BLG-1751,Confirmed,1.2,1.19,1.21,,,,,
KMT-2016-BLG-1836L b,Confirmed,2.2,1.1,1.9,,,,,
KMT-2016-BLG-2321 b,Confirmed,3.58,1.22,1.22,,,,,
KMT-2016-BLG-2364 b,Confirmed,3.93,2.17,3.16,,,,,
KMT-2016-BLG-2397 b,Confirmed,2.42,1.16,1.16,,,,,
KMT-2016-BLG-2605 b,Confirmed,0.771,0.401,1.183,,,,,
KMT-2017-BLG-0165L b,Confirmed,0.107,0.038,0.047,,,,,
KMT-2017-BLG-0428 b,Confirmed,0.01114,0.00513,0.00614,,,,,
KMT-2017-BLG-0673L b,Confirmed,3.67,3.1,3.2,,,,,
KMT-2017-BLG-0849 b,Confirmed,0.02011,0.009,0.0245,,,,,
KMT-2017-BLG-1003 b,Confirmed,0.01633,0.0088,0.01696,,,,,
KMT-2017-BLG-1038 b,Confirmed,2.4,1.4,1.8,,,,,
KMT-2017-BLG-1057 b,Confirmed,0.0739,0.038,0.047,,,,,
KMT-2017-BLG-1146 b,Confirmed,0.85,0.52,0.76,,,,,
KMT-2017-BLG-1194 b,Confirmed,3.54,1.63,1.95,,,,,
KMT-2017-BLG-2197 b,Confirmed,8.84,4.9,8.3,,,,,
KMT-2017-BLG-2331 b,Confirmed,0.538,0.277,0.44,,,,,
KMT-2017-BLG-2509 b,Confirmed,2.09,1.26,1.68,,,,,
KMT-2018-BLG-0029 b,Confirmed,0.02017,0.00236,0.0025,,,,,
KMT-2018-BLG-0030 b,Confirmed,1.45,0.88,1.23,,,,,
KMT-2018-BLG-0087 b,Confirmed,0.23,0.12,0.32,,,,,
KMT-2018-BLG-0247 b,Confirmed,2.11,1.0,2.0,,,,,
KMT-2018-BLG-0748 b,Confirmed,0.19,0.1,0.28,,,,,
KMT-2018-BLG-1025L b,Confirmed,0.019064,0.0101,0.025,,,,,
KMT-2018-BLG-1292L b,Confirmed,4.9,1.5,1.5,,,,,
KMT-2018-BLG-1743 b,Confirmed,0.925,0.68,0.675,,,,,
KMT-2018-BLG-1976L b,Confirmed,1.96,1.12,1.23,,,,,
KMT-2018-BLG-1988L b,Confirmed,0.0214,0.0104,0.0148,,,,,
KMT-2018-BLG-1990L b,Confirmed,0.57,0.25,0.79,,,,,
KMT-2018-BLG-1996L b,Confirmed,1.22,0.63,0.72,,,,,
KMT-2018-BLG-2004 b,Confirmed,0.27,0.12,0.12,,,,,
KMT-2018-BLG-2119 b,Confirmed,12.0,7.0,22.0,,,,,
KMT-2018-BLG-2602 b,Confirmed,1.15,0.6,0.7,,,,,
KMT-2019-BLG-0253 b,Confirmed,0.0289,0.0129,0.016,,,,,
KMT-2019-BLG-0298 b,Confirmed,1.81,0.96,0.96,,,,,
KMT-2019-BLG-0414L b,Confirmed,4.42,2.3,4.0,,,,,
KMT-2019-BLG-0578 b,Confirmed,1.2,0.6,1.2,,,,,
KMT-2019-BLG-0842 b,Confirmed,10.28,5.28,5.84,,,,,
KMT-2019-BLG-1042 b,Confirmed,0.19,0.11,0.21,,,,,
KMT-2019-BLG-1216 b,Confirmed,0.094,0.05,0.05,,,,,
KMT-2019-BLG-1339 b,Confirmed,12.2,6.7,16.1,,,,,
KMT-2019-BLG-1367 b,Confirmed,0.01284,0.00654,0.00812,,,,,
KMT-2019-BLG-1552 b,Confirmed,4.05,1.85,1.73,,,,,
KMT-2019-BLG-1715 b,Confirmed,2.56,1.16,1.13,,,,,
KMT-2019-BLG-1806 b,Confirmed,0.01469,0.005,0.00491,,,,,
KMT-2019-BLG-1953L b,Confirmed,0.59,0.32,0.71,,,,,
KMT-2019-BLG-1953L c,Confirmed,0.28,0.15,0.35,,,,,
KMT-2019-BLG-2783 b,Confirmed,1.16,0.77,0.77,,,,,
KMT-2019-BLG-2974 b,Confirmed,0.28,0.18,0.28,,,,,
KMT-2020-BLG-0414L b,Confirmed,0.00588,0.0005,0.00085,,,,,
KMT-2020-BLG-0757 b,Confirmed,10.7,5.6,6.2,,,,,
KMT-2021-BLG-0119 b,Confirmed,5.7,3.0,3.0,,,,,
KMT-2021-BLG-0171L b,Confirmed,0.0352,0.0142,0.0173,,,,,
KMT-2021-BLG-0192 b,Confirmed,0.15,0.1,0.1,,,,,
KMT-2021-BLG-0240 b,Confirmed,0.4,0.08,0.08,,,,,
KMT-2021-BLG-0240 c,Confirmed,0.7,0.25,0.25,,,,,
KMT-2021-BLG-0320 b,Confirmed,0.1,0.07,0.13,,,,,
KMT-2021-BLG-0322 b,Confirmed,6.4,2.78,2.64,,,,,
KMT-2021-BLG-0712 b,Confirmed,0.12016,0.038,0.066,,,,,
KMT-2021-BLG-0736 b,Confirmed,0.066,0.05,0.041,,,,,
KMT-2021-BLG-0748 b,Confirmed,0.45,0.25,0.4,,,,,
KMT-2021-BLG-0909 b,Confirmed,1.26,0.66,1.0,,,,,
KMT-2021-BLG-0912 b,Confirmed,6.92,2.6,2.13,,,,,
KMT-2021-BLG-1077L b,Confirmed,0.22,0.12,0.31,,,,,
KMT-2021-BLG-1077L c,Confirmed,0.25,0.13,0.35,,,,,
KMT-2021-BLG-1105 b,Confirmed,1.3,0.68,0.68,,,,,
KMT-2021-BLG-1150L b,Confirmed,0.88,0.38,0.38,,,,,
KMT-2021-BLG-1253 b,Confirmed,0.05994,0.0319,0.06425,,,,,
KMT-2021-BLG-1303 b,Confirmed,0.38,0.2,0.22,,,,,
KMT-2021-BLG-1372 b,Confirmed,0.19278,0.11289,0.11289,,,,,
KMT-2021-BLG-1391 b,Confirmed,0.01432,0.00727,0.00727,,,,,
KMT-2021-BLG-1547L b,Confirmed,1.47,0.77,0.65,,,,,
KMT-2021-BLG-1554 b,Confirmed,0.12,0.07,0.2,,,,,
KMT-2021-BLG-1689L b,Confirmed,0.145,0.094,0.072,,,,,
KMT-2021-BLG-1898 b,Confirmed,0.76,0.05,0.05,,,,,
KMT-2021-BLG-2010 b,Confirmed,1.07,0.68,1.15,,,,,
KMT-2021-BLG-2294 b,Confirmed,0.07,0.1,0.04,,,,,
KMT-2021-BLG-2478 b,Confirmed,0.8,0.35,0.56,,,,,
KMT-2021-BLG-2609 b,Confirmed,0.032,0.018,0.044,,,,,
KMT-2022-BLG-0303 b,Confirmed,0.513,0.275,0.41,,,,,
KMT-2022-BLG-0371 b,Confirmed,0.26,0.11,0.13,,,,,
KMT-2022-BLG-0440L b,Confirmed,0.0485,0.0233,0.0302,,,,,
KMT-2022-BLG-0475 b,Confirmed,0.079,0.042,0.065,,,,,
KMT-2022-BLG-0732 b,Confirmed,1.12,0.065,0.065,,,,,
KMT-2022-BLG-1013 b,Confirmed,0.31,0.16,0.46,,,,,
KMT-2022-BLG-1480 b,Confirmed,0.083,0.042,0.073,,,,,
KMT-2022-BLG-1787 b,Confirmed,6.64,3.6,5.0,,,,,
KMT-2022-BLG-1790 b,Confirmed,1.73,0.9,0.95,,,,,
KMT-2022-BLG-1818L b,Confirmed,1.5,0.3,0.6,,,,,
KMT-2022-BLG-1818L c,Confirmed,0.35,0.17,0.24,,,,,
KMT-2022-BLG-1852 b,Confirmed,5.0,3.0,5.4,,,,,
KMT-2022-BLG-2076 b,Confirmed,0.88,0.46,0.46,,,,,
KMT-2023-BLG-0119 b,Confirmed,0.2633,0.14395,0.1682,,,,,
KMT-2023-BLG-0416 b,Confirmed,6.15,3.2,3.0,,,,,
KMT-2023-BLG-0469 b,Confirmed,0.124,0.067,0.092,,,,,
KMT-2023-BLG-0735 b,Confirmed,0.12,0.07,0.07,,,,,
KMT-2023-BLG-1454 b,Confirmed,0.63,0.34,0.71,,,,,
KMT-2023-BLG-1642 b,Confirmed,1.18,1.9,0.7,,,,,
KMT-2023-BLG-1866L b,Confirmed,0.0104,0.0038,0.0038,,,,,
KMT-2023-BLG-1896 b,Confirmed,0.05144,0.02656,0.03087,,,,,
KMT-2023-BLG-2209 b,Confirmed,0.8,0.38,0.38,,,,,
KMT-2024-BLG-1044 b,Confirmed,0.0431,0.0211,0.0478,,,,,
KMT-2024-BLG-1209L b,Confirmed,2.64,1.16,1.57,,,,,
KOBE-1 b,Confirmed,,0.00239,0.00239,0.0277,0.00239,0.00239,,
KOBE-1 c,Confirmed,,0.0035,0.0035,0.039,0.0035,0.0035,,
KOI-2700 b,Confirmed,0.00271,0.00271,0.0,,,,0.0946,0.0946
KOI-4427 Ab,Confirmed,,,,,,,0.164,0.021
KOI-4878 b,Confirmed,,,,,,,0.0928,0.0125
KOI-4896 b,Confirmed,,,,,,,0.1169,0.0143
KOI-4896 c,Confirmed,,,,,,,0.132,0.018
KOI-5372 b,Confirmed,,,,,,,0.146,0.026
KOI-5 b,Confirmed,,,,,,,0.0589,0.009
KOI-6526 b,Confirmed,,,,,,,0.83,0.211
KOI-6532 b,Confirmed,,,,,,,0.131,0.015
KOI-6538 b,Confirmed,,,,,,,0.136,0.014
KOI-6653 b,Confirmed,,,,,,,0.109,0.008
KOI-6664 b,Confirmed,,,,,,,0.086,0.0054
KOI-6666 b,Confirmed,,,,,,,0.068,0.0054
KOI-6672 b,Confirmed,,,,,,,0.0928,0.0071
KOI-6793 b,Confirmed,,,,,,,0.075,0.0054
KOI-6798 b,Confirmed,,,,,,,0.3,0.051
KOI-6918 b,Confirmed,,,,,,,0.55,0.037
KOI-6921 b,Confirmed,,,,,,,0.11,0.012
KOI-6925 b,Confirmed,,,,,,,0.084,0.012
KOI-6931 b,Confirmed,,,,,,,0.106,0.008
KOI-6934 b,Confirmed,,,,,,,0.198,0.108
KOI-7051 b,Confirmed,,,,,,,0.106,0.011
KOI-7057 b,Confirmed,,,,,,,0.529,0.135
KOI-7069 b,Confirmed,,,,,,,0.136,0.012
KOI-7073 b,Confirmed,,,,,,,2.6987,0.794
KOI-7076 b,Confirmed,,,,,,,0.12,0.015
KOI-7197 b,Confirmed,,,,,,,0.131,0.0098
KOI-7209,Confirmed,,,,,,,0.076,0.0089
KOI-7319 b,Confirmed,,,,,,,0.087,0.008
KOI-7320 b,Confirmed,,,,,,,0.062,0.0062
KOI-7327 b,Confirmed,,,,,,,0.174,0.017
KOI-7449 b,Confirmed,,,,,,,1.252,0.089
KOI-7455,Confirmed,,,,,,,0.218,0.072
KOI-7460 b,Confirmed,,,,,,,0.136,0.015
KPS-1 b,Confirmed,1.09,0.087,0.087,,,,1.03,0.13
ksi Aql b,Confirmed,,0.2,0.2,2.02,0.2,0.2,,
L 168-9 b,Confirmed,0.01265,0.00138,0.00138,,,,0.1392,0.0098
L 363-38 b,Confirmed,,0.00135,0.00135,0.01469,0.00135,0.00135,,
L 98-59 b,Confirmed,0.0013,0.0005,0.0005,,,,0.0758,0.0036
L 98-59 c,Confirmed,0.00698,0.00082,0.00082,,,,0.12356,0.00669
L 98-59 d,Confirmed,0.0061,0.00088,0.00088,,,,0.1357,0.00874
L 98-59 e,Confirmed,,0.00116,0.00104,0.00963,0.00116,0.00104,,
Lalande 21185 b,Confirmed,,0.00079,0.00079,0.00846,0.00079,0.00079,,
Lalande 21185 c,Confirmed,,0.0076,0.0076,0.0428,0.0076,0.0076,,
Lalande 21185 d,Confirmed,,0.00264,0.00264,0.01224,0.00264,0.00264,,
lam2 For Ab,Confirmed,,0.0041,0.0041,0.0529,0.0041,0.0041,,
lam Ser b,Confirmed,,0.0047,0.0047,0.0428,0.0047,0.0047,,
LHS 1140 b,Confirmed,0.02196,0.0028,0.0028,,,,0.15407,0.00285
LHS 1140 c,Confirmed,0.00569,0.00123,0.00123,,,,0.11437,0.00214
LHS 1478 b,Confirmed,0.00733,0.0006,0.0006,,,,0.1106,0.0045
LHS 1678 b,Confirmed,0.00019,0.00019,0.0003,,,,0.06111,0.0033
LHS 1678 c,Confirmed,0.00123,0.00123,0.00135,,,,0.08395,0.0045
LHS 1678 d,Confirmed,0.00289,0.00107,0.00208,,,,0.08752,0.0062
LHS 1815 b,Confirmed,0.0132,0.0047,0.0047,,,,0.09707,0.00571
LHS 3154 b,Confirmed,,0.00264,0.00264,0.04137,0.00264,0.00264,,
LHS 3844 b,Confirmed,,,,,,,0.1178,0.0018
LHS 475 b,Confirmed,0.00308,0.00113,0.00198,,,,0.0883,0.0045
LP 714-47 b,Confirmed,0.0969,0.0047,0.0047,,,,0.419,0.027
LP 791-18 b,Confirmed,,,,,,,0.0999,0.0116
LP 791-18 c,Confirmed,0.0223,0.0022,0.0022,,,,0.2061,0.0223
LP 791-18 d,Confirmed,0.0028,0.0006,0.0006,,,,0.0919,0.0036
LP 890-9 b,Confirmed,0.0415,0.0415,0.0,,,,0.1178,0.00241
LP 890-9 c,Confirmed,0.0796,0.0796,0.0796,,,,0.12196,0.00348
LSPM J0220+3320 (AB)b,Confirmed,,,,7.5,,,,
LSPM J2116+0234 b,Confirmed,,0.003,0.003,0.042,0.003,0.003,,
LTT 1445 Ab,Confirmed,0.009,0.0008,0.0008,,,,0.116,0.006
LTT 1445 Ac,Confirmed,0.00485,0.0006,0.0006,,,,0.10233,0.00491
LTT 1445 Ad,Confirmed,,0.000236,0.000236,0.00856,0.000236,0.000236,,
LTT 9779 b,Confirmed,0.09225,0.00255,0.00245,,,,0.4211,0.0205
Lupus-TR-3 b,Confirmed,0.81,0.18,0.18,,,,0.89,0.07
Luyten's Star b,Confirmed,0.00922,,,0.0069,0.003,0.003,,
Luyten's Star c,Confirmed,0.00374,,,0.0038,0.0013,0.0013,,
Luyten's Star d,Confirmed,0.03448,,,0.034,0.011,0.0123,,
Luyten's Star e,Confirmed,0.0297,,,0.0293,0.0123,0.0135,,
M62H b,Confirmed,,,,2.47,,,,
MASCARA-1 b,Confirmed,3.7,0.9,0.9,,,,1.5,0.3
MASCARA-3 Ab,Confirmed,5.18,0.22,0.22,,,,1.272,0.022
MASCARA-4 Ab,Confirmed,1.675,0.241,0.241,,,,1.53,0.04
MAXI J1957+032 b,Confirmed,,,,17.0,,,0.5,
Mayrit 260182 b,Confirmed,4.0,2.0,3.0,,,,,
MOA-2007-BLG-192L b,Confirmed,0.0393,0.025,0.2061,,,,,
MOA-2007-BLG-400L b,Confirmed,1.71,0.27,0.27,,,,,
MOA-2008-BLG-310L b,Confirmed,0.233,0.053,0.053,,,,,
MOA-2008-BLG-379L b,Confirmed,2.44,0.5,0.5,,,,,
MOA-2009-BLG-266L b,Confirmed,0.0327,0.005,0.005,,,,,
MOA-2009-BLG-319L b,Confirmed,0.208,0.0255,0.0255,,,,,
MOA-2009-BLG-387L b,Confirmed,2.6,1.6,4.1,,,,,
MOA-2010-BLG-073L b,Confirmed,11.0,2.0,2.0,,,,,
MOA-2010-BLG-117 b,Confirmed,0.51,0.07,0.07,,,,,
MOA-2010-BLG-328L b,Confirmed,0.029,0.007,0.007,,,,,
MOA-2010-BLG-353L b,Confirmed,0.27,0.16,0.48,,,,,
MOA-2010-BLG-477L b,Confirmed,1.4,0.3,0.3,,,,,
MOA-2011-BLG-028L b,Confirmed,0.094,0.038,0.05,,,,,
MOA-2011-BLG-262L b,Confirmed,0.09099,0.01495,0.01495,,,,,
MOA-2011-BLG-274 b,Confirmed,0.8,0.3,0.3,,,,,
MOA-2011-BLG-291 b,Confirmed,0.085,0.053,0.148,,,,,
MOA-2011-BLG-293L b,Confirmed,4.8,0.3,0.3,,,,,
MOA-2011-BLG-322L b,Confirmed,7.8,8.6,4.3,,,,,
MOA-2012-BLG-006 b,Confirmed,8.4,3.9,4.6,,,,,
MOA-2012-BLG-505L b,Confirmed,6.7,3.5,10.6,,,,,
MOA-2013-BLG-220L b,Confirmed,2.74,0.17,0.17,,,,,
MOA-2013-BLG-605L b,Confirmed,0.066,0.02,0.02,,,,,
MOA-2014-BLG-472 b,Confirmed,1.9,1.2,1.22,,,,,
MOA-2016-BLG-227L b,Confirmed,2.3,1.2,2.6,,,,,
MOA-2016-BLG-319L b,Confirmed,0.62,0.33,1.16,,,,,
MOA-2016-BLG-526 b,Confirmed,6.93,0.75,0.75,,,,,
MOA-2016-BLG-532 b,Confirmed,0.41,0.33,0.33,,,,,
MOA-2019-BLG-421 b,Confirmed,0.54,0.37,0.64,,,,,
MOA-2020-BLG-135 b,Confirmed,0.0356,0.0217,0.0604,,,,,
MOA-2020-BLG-208 b,Confirmed,0.2168,0.107,0.12,,,,,
MOA-2022-BLG-033 b,Confirmed,0.03823,0.01966,0.02961,,,,,
MOA-2022-BLG-091L b,Confirmed,3.59,1.67,2.0,,,,,
MOA-2022-BLG-249L b,Confirmed,0.0152,0.00453,0.00453,,,,,
MOA-2022-BLG-563 b,Confirmed,0.4,0.25,0.31,,,,,
MOA-bin-1L b,Confirmed,3.7,2.1,2.1,,,,,
mu2 Oct Ab,Confirmed,,1.1,3.9,6.9,1.1,3.9,,
mu Ara b,Confirmed,,,,1.676,,,,
mu Ara c,Confirmed,,,,0.03321,,,,
mu Ara d,Confirmed,,,,0.5219,,,,
mu Ara e,Confirmed,,,,1.814,,,,
mu Leo b,Confirmed,,0.4,0.4,2.4,0.4,0.4,,
NGC 2423 3 b,Confirmed,,,,10.6,,,,
NGC 6440 X-2 b,Confirmed,7.6,,,,,,,
NGTS-10 Ab,Confirmed,2.162,0.107,0.092,,,,1.205,0.083
NGTS-11 b,Confirmed,0.37,0.14,0.14,,,,0.823,0.035
NGTS-11 c,Confirmed,,,,,,,0.419,
NGTS-12 b,Confirmed,0.208,0.022,0.022,,,,1.048,0.032
NGTS-13 b,Confirmed,4.84,0.44,0.44,,,,1.142,0.046
NGTS-14 Ab,Confirmed,0.092,0.012,0.012,,,,0.44,0.03
NGTS-15 b,Confirmed,0.751,0.09,0.1,,,,1.1,0.1
NGTS-16 b,Confirmed,0.667,0.13,0.16,,,,1.3,0.13
NGTS-17 b,Confirmed,0.764,0.164,0.195,,,,1.24,0.11
NGTS-18 b,Confirmed,0.409,0.063,0.081,,,,1.21,0.18
NGTS-1 b,Confirmed,0.812,0.025,0.066,,,,1.33,0.33
NGTS-20 b,Confirmed,2.98,0.16,0.16,,,,1.07,0.04
NGTS-21 b,Confirmed,2.36,0.21,0.21,,,,1.33,0.03
NGTS-23 b,Confirmed,0.613,0.1,0.1,,,,1.267,0.03
NGTS-24 b,Confirmed,0.52,0.12,0.12,,,,1.214,0.062
NGTS-25 b,Confirmed,0.639,0.052,0.058,,,,1.023,0.052
NGTS-26 b,Confirmed,0.29,0.06,0.065,,,,1.33,0.05
NGTS-27 b,Confirmed,0.593,0.07,0.095,,,,1.396,0.04
NGTS-29 b,Confirmed,0.39,0.03,0.03,,,,0.857,0.012
NGTS-2 b,Confirmed,0.67,0.089,0.089,,,,1.536,0.062
NGTS-30 b,Confirmed,0.96,0.056,0.056,,,,0.93,0.03
NGTS-31 b,Confirmed,1.12,0.12,0.12,,,,1.61,0.16
NGTS-32 b,Confirmed,0.57,0.05,0.05,,,,1.42,0.03
NGTS-33 b,Confirmed,3.63,0.27,0.27,,,,1.64,0.07
NGTS-3 Ab,Confirmed,2.38,0.26,0.26,,,,1.48,0.37
NGTS-4 b,Confirmed,0.0648,0.009,0.009,,,,0.2837,0.0232
NGTS-5 Ab,Confirmed,0.229,0.037,0.037,,,,1.136,0.023
NGTS-6 Ab,Confirmed,1.33,0.028,0.024,,,,1.271,0.19
NGTS-8 b,Confirmed,0.93,0.04,0.04,,,,1.09,0.03
NGTS-9 b,Confirmed,2.9,0.17,0.17,,,,1.07,0.06
NN Ser (AB)c,Confirmed,6.91,0.54,0.54,,,,,
NN Ser (AB)d,Confirmed,2.28,0.38,0.38,,,,,
NN Ser (AB)e,Confirmed,,0.47,0.47,9.43,0.47,0.47,,
NSVS 1425 (AB) b,Confirmed,,,,12.32,,,,
NSVS 1425 (AB) c,Confirmed,8.0,0.8,0.8,7.97,,,,
NSVS 7826147 (AB)b,Confirmed,,,,1.36,,,,
nu2 CMa b,Confirmed,,0.04,0.06,1.895,0.04,0.06,,
nu2 CMa c,Confirmed,,0.06,0.06,0.906,0.06,0.06,,
nu2 Lup b,Confirmed,0.01472,0.0013,0.0013,0.0166,0.0025,0.0025,0.14658,0.00312
nu2 Lup c,Confirmed,0.0353,0.0019,0.0019,0.0358,0.0031,0.0031,0.25489,0.00517
nu2 Lup d,Confirmed,0.02725,0.0028,0.0028,0.03,0.011,0.011,0.22366,0.0036
nu Oct b,Confirmed,2.13,0.09,0.09,,,,,
NY Vir (AB)b,Confirmed,2.78,,,,,,,
NY Vir (AB)c,Confirmed,4.49,,,,,,,
OGLE-2003-BLG-235L b,Confirmed,2.34,0.53,0.53,,,,,
OGLE-2005-BLG-071L b,Confirmed,3.5,0.3,0.3,,,,,
OGLE-2005-BLG-169L b,Confirmed,0.0444,0.003,0.003,,,,,
OGLE-2005-BLG-390L b,Confirmed,0.017,,,,,,,
OGLE-2006-109L b,Confirmed,0.727,0.06,0.06,,,,,
OGLE-2006-109L c,Confirmed,0.271,0.022,0.022,,,,,
OGLE-2006-BLG-284 b,Confirmed,0.453,0.258,0.431,,,,,
OGLE-2007-BLG-349L (AB)b,Confirmed,0.25,0.041,0.041,,,,,
OGLE-2007-BLG-368L b,Confirmed,0.0694,,,,,,,
OGLE-2008-BLG-092L Ab,Confirmed,0.18,,,,,,,
OGLE-2008-BLG-355L b,Confirmed,4.6,2.2,3.7,,,,,
OGLE-2011-BLG-0173L b,Confirmed,0.19,0.11,0.19,,,,,
OGLE-2011-BLG-0251L b,Confirmed,0.96,0.14,0.14,,,,,
OGLE-2011-BLG-0265L b,Confirmed,0.88,0.18,0.27,,,,,
OGLE-2012-BLG-0026L b,Confirmed,0.11,0.002,0.002,,,,,
OGLE-2012-BLG-0026L c,Confirmed,0.68,0.1,0.1,,,,,
OGLE-2012-BLG-0406L b,Confirmed,2.73,0.43,0.43,,,,,
OGLE-2012-BLG-0563L b,Confirmed,1.116,0.087,0.087,,,,,
OGLE-2012-BLG-0724L b,Confirmed,0.47,0.26,0.54,,,,,
OGLE-2012-BLG-0838 b,Confirmed,0.25,0.12,0.12,,,,,
OGLE-2012-BLG-0950L b,Confirmed,0.11,0.028,0.053,,,,,
OGLE-2013-BLG-0132L b,Confirmed,0.26,0.028,0.028,,,,,
OGLE-2013-BLG-0341L Bb,Confirmed,0.005222918,0.00056634,0.00056634,,,,,
OGLE-2013-BLG-0911L b,Confirmed,10.08,3.6,3.6,,,,,
OGLE-2013-BLG-1721L b,Confirmed,0.64,0.31,0.35,,,,,
OGLE-2013-BLG-1761L b,Confirmed,2.8,1.5,2.5,,,,,
OGLE-2014-BLG-0124L b,Confirmed,0.64,0.044,0.044,,,,,
OGLE-2014-BLG-0221L b,Confirmed,4.35,1.9,70.0,,,,,
OGLE-2014-BLG-0319 b,Confirmed,0.57,0.31,0.36,,,,,
OGLE-2014-BLG-0676L b,Confirmed,3.68,1.44,0.77,,,,,
OGLE-2014-BLG-1186L b,Confirmed,0.142,0.028,0.028,,,,,
OGLE-2014-BLG-1722L b,Confirmed,0.174,0.104,0.16,,,,,
OGLE-2014-BLG-1722L c,Confirmed,0.2633,0.16,0.271,,,,,
OGLE-2014-BLG-1760L b,Confirmed,0.931,0.12,0.12,,,,,
OGLE-2015-BLG-0051L b,Confirmed,0.72,0.07,0.65,,,,,
OGLE-2015-BLG-0954L b,Confirmed,4.4,1.6,1.6,,,,,
OGLE-2015-BLG-0966L b,Confirmed,0.066,0.006,0.006,,,,,
OGLE-2015-BLG-1609L b,Confirmed,0.24,0.17,0.9,,,,,
OGLE-2015-BLG-1649 b,Confirmed,2.54,1.4,1.5,,,,,
OGLE-2015-BLG-1670L b,Confirmed,0.0563,0.0277,0.0302,,,,,
OGLE-2015-BLG-1771L b,Confirmed,0.433,0.25,0.674,,,,,
OGLE-2016-BLG-0007 b,Confirmed,0.00415,0.0022,0.0028,,,,,
OGLE-2016-BLG-0263L b,Confirmed,4.1,2.5,6.5,,,,,
OGLE-2016-BLG-0596L b,Confirmed,12.2,,,,,,,
OGLE-2016-BLG-0613L (AB) b,Confirmed,4.18,2.43,3.19,,,,,
OGLE-2016-BLG-1067L b,Confirmed,0.43,0.17,0.21,,,,,
OGLE-2016-BLG-1093L b,Confirmed,0.71,0.13,0.13,,,,,
OGLE-2016-BLG-1195L b,Confirmed,0.0045,0.001,0.0014,,,,,
OGLE-2016-BLG-1227 b,Confirmed,0.79,0.39,1.3,,,,,
OGLE-2016-BLG-1598 b,Confirmed,5.91,1.74,1.74,,,,,
OGLE-2016-BLG-1635 b,Confirmed,11.49,8.0,8.0,,,,,
OGLE-2016-BLG-1800 b,Confirmed,2.59,1.46,1.46,,,,,
OGLE-2016-BLG-1850 b,Confirmed,0.02936,0.0123,0.0123,,,,,
OGLE-2017-BLG-0173L b,Confirmed,9.08,5.7,10.85,,,,,
OGLE-2017-BLG-0364 b,Confirmed,0.2385,0.135,0.173,,,,,
OGLE-2017-BLG-0406 b,Confirmed,0.41,0.05,0.05,,,,,
OGLE-2017-BLG-0448 b,Confirmed,7.3,4.0,8.35,,,,,
OGLE-2017-BLG-0482 b,Confirmed,9.0,4.5,9.0,,,,,
OGLE-2017-BLG-0604 b,Confirmed,0.51,0.23,0.23,,,,,
OGLE-2017-BLG-0640 b,Confirmed,1.62,0.94,1.64,,,,,
OGLE-2017-BLG-1049 b,Confirmed,5.53,2.87,3.62,,,,,
OGLE-2017-BLG-1099 b,Confirmed,3.02,1.81,2.43,,,,,
